basinid,c0R,Wpct,c0frnrprecp,c0annprecp,c0GDPmer,c0GDPppp,c0PopDen,c0PUrbDen,c0PConDen,c0ENsewhum,c0TNfrem,c0TNsewhum,c0EPsewhum,c0EPsewdet,c0TPfrem,c0TPsewhum,c0TPsewdet,c0TNdpna
1448,723.572021484,0.406657218933,3.63059329987,1273.80895996,23610.9375,23880.6171875,35.8708305359,0.0,9.15278625488,200.362991333,30.5465888977,35.5077362061,32.3981704712,12.8340854645,37.208946228,5.19075012207,2.05624365807,175.135177612
1449,763.547973633,0.0,6.90065336227,1334.94152832,531.0,561.59942627,156.675933838,122.219192505,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1308.48681641
1450,88.1679534912,0.0,0.82007175684,217.363357544,22981.0664063,25456.0625,0.0,0.0,0.0,0.0,47.1000289917,0.0,0.0,0.0,54.8000335693,0.0,0.0,29.3460559845
1451,0.0,12.342590332,0.597882330418,159.820159912,651.399719238,3223.60229492,4.46764278412,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,226.333465576
1452,759.35534668,0.0839270055294,4.3067240715,1363.42211914,44798.7578125,23828.0195313,159.695526123,0.0,0.0,0.0,42.0000267029,0.0,0.0,0.0,52.0000267029,0.0,0.0,855.914611816
1453,199.137359619,3.033598423,1.31216776371,418.116973877,2944.09545898,6643.59277344,0.128208816051,0.0,0.0,0.0,21.2000274658,0.0,0.0,0.0,25.9000549316,0.0,0.0,55.4080123901
1454,135.748046875,8.72685623169,1.14052903652,356.218597412,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.000549316
1455,303.082763672,30.2297401428,2.714012146,973.521179199,31730.4609375,31338.0566406,431.69833374,431.69833374,409.67175293,2804.83447266,52.5000343323,1264.31762695,467.02532959,101.763496399,61.1999893188,171.960205078,37.4696426392,0.0
1456,385.74105835,0.754625976086,2.36993527412,836.852294922,22232.9003906,22652.0644531,300.356658936,277.024871826,295.720214844,1810.52124023,35.599937439,1147.97827148,301.54208374,119.950637817,43.6000518799,167.44430542,66.6077880859,661.019042969
1457,5.1577334404,0.0,1.3827303648,457.517883301,17411.1816406,18314.0019531,47.8769493103,32.1447257996,32.1447257996,274.921905518,39.7000465393,111.303703308,45.7981681824,22.0761566162,48.6000213623,15.8049945831,7.61850404739,0.0
1458,109.196144104,16.7260761261,0.902394235134,264.374450684,22981.0625,25456.0703125,0.0,0.0,0.0,0.0,47.1000137329,0.0,0.0,0.0,54.799987793,0.0,0.0,49.276802063
1459,47.0694274902,0.0,3.49076032639,535.871704102,827.099609375,3557.99755859,168.402801514,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,835.03729248
1460,311.11618042,0.0,2.90446090698,822.228088379,3047.60620117,5730.49707031,611.397644043,611.397644043,611.397644043,2740.63647461,6.79999494553,2554.27319336,456.735443115,104.126823425,8.29999446869,418.826416016,95.4843063354,868.000549316
1461,147.82170105,0.0,0.888296961784,263.179473877,22981.0078125,25456.1660156,0.0,0.0,0.0,0.0,47.1000022888,0.0,0.0,0.0,54.7999687195,0.0,0.0,20.3152141571
1462,806.901550293,0.0,6.27040338516,1278.63574219,31730.4394531,31337.9804688,2.20000576973,0.0,0.0,0.0,52.4999656677,0.0,0.0,0.0,61.2000350952,0.0,0.0,247.999954224
1463,608.675720215,0.0,3.90641713142,1084.3972168,12826.7001953,15878.8994141,93.4043045044,61.6043243408,61.6043243408,519.294067383,18.7000694275,278.450408936,86.5673522949,45.9408073425,23.1000537872,43.9060630798,23.3007011414,695.333007813
1464,251.882965088,0.0,2.35234856606,733.143310547,3047.6027832,5730.49902344,99.446395874,53.9985122681,0.0,0.0,6.80000305176,0.0,0.0,0.0,8.30000305176,0.0,0.0,778.403015137
1465,244.374740601,0.0,2.08559274673,723.728515625,23509.9335938,24048.0371094,1.45825648308,1.45825648308,0.0,0.0,28.0999450684,0.0,0.0,0.0,34.2999763489,0.0,0.0,169.365081787
1466,99.0850296021,0.0,0.796591043472,231.226608276,22980.96875,25456.125,0.0,0.0,0.0,0.0,47.1000595093,0.0,0.0,0.0,54.8000106812,0.0,0.0,20.4417095184
1467,151.193939209,0.0,0.679885983467,234.109436035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.53717041
1468,170.628601074,17.3279151917,1.31814885139,397.847686768,2944.10302734,6643.59765625,0.016786320135,0.0,0.0,0.0,21.2000694275,0.0,0.0,0.0,25.8999786377,0.0,0.0,122.407455444
